ID,Account Number,Month/Year,Total,Prior Month Total
85937,11785,2023/01,960.0,0.0
85937,11785,2023/02,1370.0,960.0
85937,11785,2023/03,2200.0,410.0
85937,11785,2023/04,3400.0,830.0
85937,11785,2023/05,2395.0,1200.0
85937,11785,2023/06,2330.0,-1005.0
85937,11785,2023/07,1630.0,-65.0
85937,11785,2023/08,690.0,-700.0
85937,11785,2023/09,1120.0,-940.0
85937,11785,2023/10,560.0,430.0
85937,11785,2023/11,810.0,-560.0
85937,11785,2023/12,880.0,250.0
85937,11785,2024/01,950.0,70.0
85937,11785,2024/02,-1195.0,70.0
85937,21896,2023/01,-1195.0,0.0
85937,21896,2023/02,-1195.0,0.0
85937,21896,2023/03,-1195.0,0.0
85937,21896,2023/04,-1195.0,0.0
85937,21896,2023/05,-1195.0,0.0
85937,21896,2023/06,-1195.0,0.0
85937,21896,2023/07,-1195.0,0.0
85937,21896,2023/08,-1195.0,0.0
85937,21896,2023/09,-1195.0,0.0
85937,21896,2023/10,-1195.0,0.0
85937,21896,2023/11,-1195.0,0.0
85937,21896,2023/12,-1195.0,0.0
85937,21896,2024/01,-1195.0,0.0
85937,21896,2024/02,-3040.0,0.0
85937,31974,2023/01,-2540.0,0.0
85937,31974,2023/02,-2030.0,500.0
85937,31974,2023/03,-1509.8,510.0
85937,31974,2023/04,-979.1999999999999,520.2
85937,31974,2023/05,562.0100000000001,530.6
85937,31974,2023/06,1134.0500000000002,1541.21
85937,31974,2023/07,1717.5300000000002,572.04
85937,31974,2023/08,2812.6800000000003,583.48
85937,31974,2023/09,3929.7300000000005,1095.15
85937,31974,2023/10,4569.120000000001,1117.05
85937,31974,2023/11,5715.300000000001,639.39
85937,31974,2023/12,6390.4000000000015,1146.18
85937,31974,2024/01,7079.000000000002,675.1
85937,31974,2024/02,7281.380000000002,688.6
85937,41879,2023/01,7781.380000000002,0.0
85937,41879,2023/02,8281.380000000001,500.0
85937,41879,2023/03,8781.380000000001,500.0
85937,41879,2023/04,9281.380000000001,500.0
85937,41879,2023/05,10281.380000000001,500.0
85937,41879,2023/06,11781.380000000001,1000.0
85937,41879,2023/07,13281.380000000001,1500.0
85937,41879,2023/08,15281.380000000001,1500.0
85937,41879,2023/09,15781.380000000001,2000.0
85937,41879,2023/10,17281.38,500.0
85937,41879,2023/11,18281.38,1500.0
85937,41879,2023/12,19781.38,1000.0
85937,41879,2024/01,20781.38,1500.0
85937,41879,2024/02,21281.38,1000.0
