ID,Account Number,Money in/out,Transaction Date,Transaction Amount,Transaction Scope
85937,11785,spending,1/1/2023,2500,rent
85937,11785,deposit,1/5/2023,500,dividends
85937,11785,withdrawal,1/5/2023,500,41879
85937,11785,spending,1/10/2023,50,fee
85937,11785,deposit,1/15/2023,3505,salary
85937,11785,spending,1/23/2023,3000,21896
85937,11785,deposit,1/30/2023,3505,salary
85937,11785,withdrawal,1/30/2023,500,31974
85937,11785,spending,2/1/2023,2500,rent
85937,11785,deposit,2/5/2023,500,dividends
85937,11785,withdrawal,2/5/2023,500,41879
85937,11785,spending,2/7/2023,100,fee
85937,11785,deposit,2/15/2023,3505,salary
85937,11785,spending,2/23/2023,3500,21896
85937,11785,deposit,2/28/2023,3505,salary
85937,11785,withdrawal,2/28/2023,500,31974
85937,11785,spending,3/1/2023,2500,rent
85937,11785,deposit,3/5/2023,500,dividends
85937,11785,withdrawal,3/5/2023,500,41879
85937,11785,spending,3/20/2023,30,fee
85937,11785,deposit,3/15/2023,3505,salary
85937,11785,spending,3/23/2023,3150,21896
85937,11785,deposit,3/30/2023,3505,salary
85937,11785,withdrawal,3/30/2023,500,31974
85937,11785,spending,4/1/2023,2500,rent
85937,11785,deposit,4/5/2023,500,dividends
85937,11785,withdrawal,4/5/2023,500,41879
85937,11785,spending,4/30/2023,10,fee
85937,11785,deposit,4/15/2023,3505,salary
85937,11785,spending,4/23/2023,2800,21896
85937,11785,deposit,4/30/2023,3505,salary
85937,11785,withdrawal,4/30/2023,500,31974
85937,11785,spending,5/1/2023,2500,rent
85937,11785,deposit,5/5/2023,500,dividends
85937,11785,withdrawal,5/5/2023,1000,41879
85937,11785,spending,5/3/2023,65,fee
85937,11785,deposit,5/15/2023,3505,salary
85937,11785,spending,5/23/2023,3450,21896
85937,11785,deposit,5/30/2023,3505,salary
85937,11785,withdrawal,5/30/2023,1500,31974
85937,11785,spending,6/1/2023,2500,rent
85937,11785,deposit,6/5/2023,500,dividends
85937,11785,withdrawal,6/5/2023,1500,41879
85937,11785,spending,6/7/2023,25,fee
85937,11785,deposit,6/15/2023,3505,salary
85937,11785,spending,6/23/2023,3050,21896
85937,11785,deposit,6/28/2023,3505,salary
85937,11785,withdrawal,6/28/2023,500,31974
85937,11785,spending,7/1/2023,2500,rent
85937,11785,deposit,7/5/2023,500,dividends
85937,11785,withdrawal,7/5/2023,1500,41879
85937,11785,spending,7/10/2023,10,fee
85937,11785,spending,7/28/2023,50,fee
85937,11785,deposit,7/15/2023,3505,salary
85937,11785,spending,7/23/2023,3650,21896
85937,11785,deposit,7/30/2023,3505,salary
85937,11785,withdrawal,7/30/2023,500,31974
85937,11785,spending,8/1/2023,2500,rent
85937,11785,deposit,8/5/2023,500,dividends
85937,11785,withdrawal,8/5/2023,2000,41879
85937,11785,deposit,8/15/2023,3505,salary
85937,11785,spending,8/23/2023,2950,21896
85937,11785,deposit,8/30/2023,3505,salary
85937,11785,withdrawal,8/30/2023,1000,31974
85937,11785,spending,9/1/2023,2500,rent
85937,11785,deposit,9/5/2023,500,dividends
85937,11785,withdrawal,9/5/2023,500,41879
85937,11785,deposit,9/15/2023,3505,salary
85937,11785,spending,9/23/2023,3080,21896
85937,11785,deposit,9/30/2023,3505,salary
85937,11785,withdrawal,9/30/2023,1000,31974
85937,11785,spending,10/1/2023,2500,rent
85937,11785,deposit,10/5/2023,500,dividends
85937,11785,withdrawal,10/5/2023,1500,41879
85937,11785,spending,10/7/2023,50,fee
85937,11785,spending,10/7/2023,5,fee
85937,11785,spending,10/7/2023,15,fee
85937,11785,deposit,10/15/2023,3505,salary
85937,11785,spending,10/23/2023,3500,21896
85937,11785,deposit,10/28/2023,3505,salary
85937,11785,withdrawal,10/28/2023,500,31974
85937,11785,spending,11/1/2023,2500,rent
85937,11785,deposit,11/5/2023,500,dividends
85937,11785,withdrawal,11/5/2023,1000,41879
85937,11785,deposit,11/15/2023,3505,salary
85937,11785,spending,11/23/2023,2760,21896
85937,11785,deposit,11/30/2023,3505,salary
85937,11785,withdrawal,11/30/2023,1000,31974
85937,11785,spending,12/1/2023,2500,rent
85937,11785,deposit,12/5/2023,500,dividends
85937,11785,withdrawal,12/5/2023,1500,41879
85937,11785,deposit,12/15/2023,3505,salary
85937,11785,spending,12/23/2023,2940,21896
85937,11785,deposit,12/30/2023,3505,salary
85937,11785,withdrawal,12/30/2023,500,31974
85937,11785,spending,1/1/2024,2500,rent
85937,11785,deposit,1/5/2024,500,dividends
85937,11785,withdrawal,1/5/2024,1000,41879
85937,11785,deposit,1/15/2024,3505,salary
85937,11785,spending,1/23/2024,3440,21896
85937,11785,deposit,1/30/2024,3505,salary
85937,11785,withdrawal,1/30/2024,500,31974
85937,11785,spending,2/1/2024,2500,rent
85937,11785,deposit,2/5/2024,500,dividends
85937,11785,withdrawal,2/5/2024,500,41879
85937,11785,deposit,2/15/2024,3505,salary
85937,11785,spending,2/23/2024,3150,21896
85937,21896,spending,1/4/2023,80,hydro
85937,21896,spending,1/5/2023,540,groceries
85937,21896,spending,1/10/2023,150,phone
85937,21896,spending,1/11/2023,60,health
85937,21896,spending,1/15/2023,430,groceries
85937,21896,spending,1/17/2023,200,entertainment
85937,21896,spending,1/20/2023,100,internet
85937,21896,deposit,1/23/2023,3000,21896
85937,21896,spending,1/23/2023,400,transport
85937,21896,spending,1/25/2023,190,sport
85937,21896,spending,1/27/2023,430,fashion
85937,21896,spending,1/27/2023,420,groceries
85937,21896,spending,2/1/2023,410,groceries
85937,21896,spending,2/4/2023,80,hydro
85937,21896,spending,2/7/2023,430,fashion
85937,21896,spending,2/10/2023,150,phone
85937,21896,spending,2/10/2023,480,groceries
85937,21896,spending,2/13/2023,60,health
85937,21896,spending,2/20/2023,100,internet
85937,21896,deposit,2/23/2023,3500,21896
85937,21896,spending,2/23/2023,400,transport
85937,21896,spending,2/24/2023,390,fashion
85937,21896,spending,2/25/2023,250,entertainment
85937,21896,spending,2/25/2023,190,sport
85937,21896,spending,2/28/2023,560,groceries
85937,21896,spending,3/4/2023,510,groceries
85937,21896,spending,3/4/2023,80,hydro
85937,21896,spending,3/10/2023,150,phone
85937,21896,spending,3/11/2023,425,groceries
85937,21896,spending,3/20/2023,100,internet
85937,21896,deposit,3/23/2023,3150,21896
85937,21896,spending,3/23/2023,400,transport
85937,21896,spending,3/24/2023,500,fashion
85937,21896,spending,3/25/2023,185,entertainment
85937,21896,spending,3/25/2023,190,sport
85937,21896,spending,3/28/2023,610,groceries
85937,21896,spending,4/1/2023,255,groceries
85937,21896,spending,4/4/2023,80,hydro
85937,21896,spending,4/10/2023,270,fashion
85937,21896,spending,4/10/2023,150,phone
85937,21896,spending,4/11/2023,435,groceries
85937,21896,spending,4/19/2023,30,health
85937,21896,spending,4/20/2023,100,internet
85937,21896,deposit,4/23/2023,2800,21896
85937,21896,spending,4/23/2023,400,transport
85937,21896,spending,4/23/2023,155,fashion
85937,21896,spending,4/23/2023,175,entertainment
85937,21896,spending,4/25/2023,190,sport
85937,21896,spending,4/25/2023,560,groceries
85937,21896,spending,5/4/2023,80,hydro
85937,21896,spending,5/5/2023,410,entertainment
85937,21896,spending,5/6/2023,650,groceries
85937,21896,spending,5/9/2023,375,fashion
85937,21896,spending,5/10/2023,150,phone
85937,21896,spending,5/17/2023,535,groceries
85937,21896,spending,5/20/2023,100,internet
85937,21896,spending,5/22/2023,560,groceries
85937,21896,deposit,5/23/2023,3450,21896
85937,21896,spending,5/23/2023,400,transport
85937,21896,spending,5/25/2023,190,sport
85937,21896,spending,6/2/2023,310,groceries
85937,21896,spending,6/4/2023,80,hydro
85937,21896,spending,6/4/2023,270,fashion
85937,21896,spending,6/6/2023,435,groceries
85937,21896,spending,6/6/2023,350,entertainment
85937,21896,spending,6/10/2023,150,phone
85937,21896,spending,6/13/2023,100,health
85937,21896,spending,6/19/2023,205,fashion
85937,21896,spending,6/20/2023,100,internet
85937,21896,deposit,6/23/2023,3050,21896
85937,21896,spending,6/23/2023,400,transport
85937,21896,spending,6/25/2023,190,sport
85937,21896,spending,6/30/2023,460,groceries
85937,21896,spending,7/6/2023,505,groceries
85937,21896,spending,7/4/2023,80,hydro
85937,21896,spending,7/31/2023,280,fashion
85937,21896,spending,7/12/2023,435,groceries
85937,21896,spending,7/6/2023,375,entertainment
85937,21896,spending,7/10/2023,150,phone
85937,21896,spending,7/19/2023,555,fashion
85937,21896,spending,7/20/2023,100,internet
85937,21896,deposit,7/23/2023,3650,21896
85937,21896,spending,7/23/2023,400,transport
85937,21896,spending,7/25/2023,190,sport
85937,21896,spending,7/30/2023,580,groceries
85937,21896,spending,8/1/2023,410,groceries
85937,21896,spending,8/4/2023,80,hydro
85937,21896,spending,8/10/2023,150,phone
85937,21896,spending,8/12/2023,480,groceries
85937,21896,spending,8/13/2023,60,health
85937,21896,spending,8/20/2023,100,internet
85937,21896,deposit,8/23/2023,2950,21896
85937,21896,spending,8/23/2023,400,transport
85937,21896,spending,8/28/2023,250,fashion
85937,21896,spending,8/28/2023,270,entertainment
85937,21896,spending,8/25/2023,190,sport
85937,21896,spending,8/28/2023,560,groceries
85937,21896,spending,9/5/2023,440,groceries
85937,21896,spending,9/4/2023,80,hydro
85937,21896,spending,9/10/2023,150,phone
85937,21896,spending,9/17/2023,425,groceries
85937,21896,spending,9/20/2023,100,internet
85937,21896,deposit,9/23/2023,3080,21896
85937,21896,spending,9/23/2023,400,transport
85937,21896,spending,9/17/2023,500,fashion
85937,21896,spending,9/19/2023,185,entertainment
85937,21896,spending,9/25/2023,190,sport
85937,21896,spending,9/28/2023,610,groceries
85937,21896,spending,10/1/2023,255,groceries
85937,21896,spending,10/4/2023,80,hydro
85937,21896,spending,10/10/2023,270,fashion
85937,21896,spending,10/16/2023,200,entertainment
85937,21896,spending,10/1/2023,50,entertainment
85937,21896,spending,10/10/2023,150,phone
85937,21896,spending,10/11/2023,435,groceries
85937,21896,spending,10/17/2023,500,health
85937,21896,spending,10/20/2023,100,internet
85937,21896,deposit,10/23/2023,3500,21896
85937,21896,spending,10/23/2023,400,transport
85937,21896,spending,10/19/2023,155,fashion
85937,21896,spending,10/26/2023,175,entertainment
85937,21896,spending,10/25/2023,190,sport
85937,21896,spending,10/25/2023,540,groceries
85937,21896,spending,11/4/2023,80,hydro
85937,21896,spending,11/5/2023,50,entertainment
85937,21896,spending,11/6/2023,650,groceries
85937,21896,spending,11/9/2023,55,fashion
85937,21896,spending,11/10/2023,150,phone
85937,21896,spending,11/18/2023,535,groceries
85937,21896,spending,11/20/2023,100,internet
85937,21896,spending,11/30/2023,550,groceries
85937,21896,deposit,11/23/2023,2760,21896
85937,21896,spending,11/23/2023,400,transport
85937,21896,spending,11/25/2023,190,sport
85937,21896,spending,12/2/2023,310,groceries
85937,21896,spending,12/4/2023,80,hydro
85937,21896,spending,12/4/2023,270,fashion
85937,21896,spending,12/6/2023,435,groceries
85937,21896,spending,12/8/2023,240,entertainment
85937,21896,spending,12/10/2023,150,phone
85937,21896,spending,12/13/2023,100,health
85937,21896,spending,12/19/2023,205,fashion
85937,21896,spending,12/20/2023,100,internet
85937,21896,deposit,12/23/2023,2940,21896
85937,21896,spending,12/23/2023,400,transport
85937,21896,spending,12/25/2023,190,sport
85937,21896,spending,12/30/2023,460,groceries
85937,21896,spending,1/3/2023,505,groceries
85937,21896,spending,1/4/2023,80,hydro
85937,21896,spending,1/31/2023,280,fashion
85937,21896,spending,1/12/2023,435,groceries
85937,21896,spending,1/16/2023,375,entertainment
85937,21896,spending,1/10/2023,150,phone
85937,21896,spending,1/19/2023,345,fashion
85937,21896,spending,1/20/2023,100,internet
85937,21896,deposit,1/23/2023,3440,21896
85937,21896,spending,1/23/2023,400,transport
85937,21896,spending,1/25/2023,190,sport
85937,21896,spending,1/29/2023,580,groceries
85937,21896,spending,2/1/2023,310,groceries
85937,21896,spending,2/4/2023,80,hydro
85937,21896,spending,2/4/2023,270,fashion
85937,21896,spending,2/8/2023,435,groceries
85937,21896,spending,2/8/2023,350,entertainment
85937,21896,spending,2/10/2023,150,phone
85937,21896,spending,2/13/2023,100,health
85937,21896,spending,2/19/2023,205,fashion
85937,21896,spending,2/20/2023,100,internet
85937,21896,deposit,2/23/2023,2940,21896
85937,21896,spending,2/23/2023,400,transport
85937,31974,deposit,1/30/2023,500,11785
85937,31974,deposit,2/28/2023,500,11785
85937,31974,deposit,3/30/2023,500,11785
85937,31974,deposit,4/30/2023,500,11785
85937,31974,deposit,5/30/2023,1500,11785
85937,31974,deposit,6/28/2023,500,11785
85937,31974,deposit,7/30/2023,500,11785
85937,31974,deposit,8/30/2023,1000,11785
85937,31974,deposit,9/30/2023,1000,11785
85937,31974,deposit,10/28/2023,500,11785
85937,31974,deposit,11/30/2023,1000,11785
85937,31974,deposit,12/30/2023,500,11785
85937,31974,deposit,1/30/2024,500,11785
85937,41879,deposit,1/5/2023,500,11785
85937,41879,deposit,2/5/2023,500,11785
85937,41879,deposit,3/5/2023,500,11785
85937,41879,deposit,4/5/2023,500,11785
85937,41879,deposit,5/5/2023,1000,11785
85937,41879,deposit,6/5/2023,1500,11785
85937,41879,deposit,7/5/2023,1500,11785
85937,41879,deposit,8/5/2023,2000,11785
85937,41879,deposit,9/5/2023,500,11785
85937,41879,deposit,10/5/2023,1500,11785
85937,41879,deposit,11/5/2023,1000,11785
85937,41879,deposit,12/5/2023,1500,11785
85937,41879,deposit,1/5/2024,1000,11785
85937,41879,deposit,2/5/2024,500,11785
85937,31974,deposit,02/10/2023,10,interest
85937,31974,deposit,03/10/2023,20.2,interest
85937,31974,deposit,04/10/2023,30.6,interest
85937,31974,deposit,05/10/2023,41.21,interest
85937,31974,deposit,06/10/2023,72.04,interest
85937,31974,deposit,07/10/2023,83.48,interest
85937,31974,deposit,08/10/2023,95.15,interest
85937,31974,deposit,09/10/2023,117.05,interest
85937,31974,deposit,10/10/2023,139.39,interest
85937,31974,deposit,11/10/2023,146.18,interest
85937,31974,deposit,12/10/2023,175.1,interest
85937,31974,deposit,1/10/2024,188.6,interest
85937,31974,deposit,2/10/2024,202.38,interest
